전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,수정전국매출액,개봉일관객수,개봉일매출액,개봉일매출비율,배우가중치,감독가중치,영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,타겟
894,5235493163700000000,7166199,16070379637.0,2118794,523.54931637,273647.0,1914008000.0,42.8,3.0,0.4,베를린,2013-01-30,1.0,액션,1,0.0,1.0,1,1
1501,5806792786500000000,7150541,14520299965.0,1731940,580.67927865,392856.0,2944795900.0,66.1,2.6,0.2,마스터,2016-12-21,1.0,액션,1,0.0,1.0,1,1
1105,5751032441700000000,7118592,14121558017.0,1675010,575.10324417,379079.0,2833570300.0,39.3,2.9,0.4,터널,2016-08-10,1.0,드라마,2,0.0,1.0,1,0
967,5955785347800000000,7074867,19280107897.0,2147619,595.57853478,214105.0,1869885500.0,57.9,2.6,0.2,어벤져스,2012-04-26,0.0,액션,2,1.0,0.0,1,0
1075,5659658205700000000,7071763,16340245357.0,1972885,565.96582057,230949.0,1756744300.0,53.0,2.2,0.5,내부자들,2015-11-19,1.0,범죄,0,0.0,1.0,1,1
1049,5510141030300000000,7049643,11459996563.0,1427944,551.01410303,464460.0,2922521800.0,33.7,1.3,0.2,인천상륙작전,2016-07-27,1.0,기타,2,0.0,1.0,1,0
1158,5636143525600000000,6965706,13812629836.0,1640015,563.61435256,214065.0,1595475900.0,61.0,1.5,0.2,럭키,2016-10-13,1.0,코미디,1,0.0,1.0,1,0
1341,4866393941300000000,6953800,12415574413.0,1691014,486.63939413,498158.0,3323467500.0,68.8,0.4,0.1,은밀하게 위대하게,2013-06-05,1.0,액션,1,0.0,1.0,1,0
1485,5585310838200000000,6878264,15445041342.0,1829923,558.53108382,310042.0,2356899900.0,68.3,2.3,0.2,곡성,2016-05-12,1.0,기타,1,1.0,0.0,1,0
706,4659310750000000000,6654837,12336313500.0,1677173,465.931075,128787.0,877499000.0,37.4,1.5,0.3,늑대소년,2012-10-31,1.0,멜로/로맨스,1,0.0,1.0,1,0
2027,5051056516800000000,6592151,11091878868.0,1398649,505.10565168,972161.0,6109565800.0,71.4,1.8,0.4,군함도,2017-07-26,1.0,액션,1,0.0,1.0,1,0
1957,5588837511200000000,6584915,14891043562.0,1686255,558.88375112,601935.0,3905685200.0,57.4,1.3,0.3,미션 임파서블: 폴아웃,2018-07-25,0.0,액션,1,0.0,1.0,1,1
1210,4764483800000000000,6396528,16258149500.0,2057529,476.44838,441089.0,3145772500.0,71.5,1.7,0.4,다크 나이트 라이즈,2012-07-19,0.0,액션,1,1.0,0.0,1,0
1971,5290578977000000000,6290502,11465394430.0,1318183,529.0578977,450171.0,3549081870.0,63.3,4.4,0.1,백두산,2019-12-19,1.0,기타,2,0.0,1.0,1,0
478,4787079235900000000,6282774,14820865000.0,1863328,478.70792359,130766.0,968439500.0,20.6,0.8,0.2,아저씨,2010-08-04,1.0,액션,0,0.0,1.0,1,1
