영화명,해당일의 관객수,개봉일,당일 매출액,해당일자 매출총액 대비 해당 영화의 매출비율
아프리카 마법여행,4365,2011-01-20,39547500,2.5
글러브,69230,2011-01-20,489326000,31.0
상하이,15462,2011-01-27,112089000,4.3
평양성,60590,2011-01-27,425812000,16.1
타운,7659,2011-01-27,56590000,2.1
걸리버 여행기,84845,2011-01-27,786511000,29.8
그린 호넷,12932,2011-01-27,146178500,5.5
조선명탐정 : 각시투구꽃의 비밀,97036,2011-01-27,695551500,26.4
친구와 연인사이,21100,2011-02-10,156969500,8.1
생텀,45842,2011-02-10,478453500,24.6
라푼젤,22031,2011-02-10,228834300,11.8
아이들...,120980,2011-02-17,842446000,29.2
그대를 사랑합니다,23905,2011-02-17,168657500,5.8
127시간,19091,2011-02-17,137566000,4.8
언노운,30054,2011-02-17,218881500,7.6
만추,102565,2011-02-17,729896500,25.3
아이 엠 넘버 포,45495,2011-02-24,326395000,13.3
블랙 스완,45299,2011-02-24,332753500,13.5
알파 앤 오메가,18922,2011-02-24,138579000,5.6
메카닉,19805,2011-02-24,144953000,5.9
랭고,14312,2011-03-03,104277000,8.3
"사랑한다, 사랑하지 않는다",7864,2011-03-03,56329000,4.5
컨트롤러,30540,2011-03-03,221903500,17.7
월드 인베이젼,66551,2011-03-10,485783000,37.3
사랑이 무서워,18450,2011-03-10,134097000,10.3
파이터,10443,2011-03-10,74866500,5.7
레드 라이딩 후드,24170,2011-03-17,176216500,14.9
비스틀리,13065,2011-03-17,95596500,8.1
굿모닝 에브리원,9425,2011-03-17,68769500,5.8
달빛 길어올리기,6526,2011-03-17,36258500,3.1
킹스 스피치,26011,2011-03-17,182514500,15.4
웨이 백,7394,2011-03-17,52046000,4.4
히어애프터,5585,2011-03-24,38867500,4.0
마이 블랙 미니드레스,20636,2011-03-24,149252500,15.3
로맨틱 헤븐,8036,2011-03-24,56821000,5.8
위험한 상견례,64842,2011-03-31,460557500,40.0
줄리아의 눈,16446,2011-03-31,116911000,10.2
미트 페어런츠 3,7196,2011-03-31,51370000,4.5
베니싱,6661,2011-03-31,47996500,4.2
써커 펀치,15852,2011-04-07,119442000,11.3
라스트 나잇,13696,2011-04-07,98517500,9.3
황당한 외계인: 폴,5002,2011-04-07,36527500,3.5
수상한 고객들,37976,2011-04-14,270742000,25.5
한나,23012,2011-04-14,167123500,15.8
노미오와 줄리엣,4103,2011-04-14,40063000,3.8
나는 아빠다,12948,2011-04-14,93613000,8.8
더 라이트: 악마는 있다,3396,2011-04-20,25051500,2.5
세상에서 가장 아름다운 이별,9195,2011-04-20,64115000,6.3
분노의 질주: 언리미티드,38205,2011-04-20,281280500,27.8
제인 에어,6090,2011-04-20,43192000,4.3
적과의 동침,16115,2011-04-27,114612000,9.5
마오의 라스트 댄서,4021,2011-04-28,28120000,1.5
토르: 천둥의 신,81994,2011-04-28,857350000,47.2
소스 코드,62694,2011-05-04,458953500,21.2
체포왕,35631,2011-05-04,256088000,11.8
워터 포 엘리펀트,5778,2011-05-04,41425000,1.9
써니,55417,2011-05-04,398190000,18.4
짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,151961,2011-05-05,1020441500,12.2
썬더일레븐 극장판 : 최강군단 오우거의 습격,56930,2011-05-05,377415500,4.5
천녀유혼,7678,2011-05-12,54277000,4.0
옥보단 3D,10998,2011-05-12,127454500,9.4
삼국지: 명장 관우,10285,2011-05-19,73599500,2.9
캐리비안의 해적: 낯선 조류,182947,2011-05-19,1711807000,67.3
회초리,3834,2011-05-19,24364000,1.0
헤드,8721,2011-05-26,60964500,2.4
쿵푸팬더 2,130076,2011-05-26,1196979000,48.0
마마,8121,2011-06-01,55787000,2.8
엑스맨: 퍼스트 클래스,98052,2011-06-02,711646500,32.6
레지던트,7938,2011-06-02,58533500,2.7
스크림 4G,5337,2011-06-09,40110000,2.5
프리스트,10649,2011-06-09,96479500,5.9
모비딕,35515,2011-06-09,257077000,15.8
화이트: 저주의 멜로디,18589,2011-06-09,134221000,8.3
링컨 차를 타는 변호사,13118,2011-06-16,92888500,5.7
슈퍼 에이트,38882,2011-06-16,293167500,17.9
러브 앤 프렌즈,9123,2011-06-16,63757500,3.9
그린랜턴: 반지의 선택,24205,2011-06-16,183169000,11.2
정무문 : 100대 1의 전설,8345,2011-06-22,61278000,3.9
풍산개,40493,2011-06-23,294115500,17.4
트랜스포머 3,544995,2011-06-29,5494404500,89.4
음모자,2049,2011-06-30,14612500,0.3
고양이: 죽음을 보는 두 개의 눈,56183,2011-07-07,396736500,14.1
초(민망한)능력자들,2541,2011-07-07,17604500,0.6
빨간모자의 진실 2,4324,2011-07-13,31651000,1.0
해리포터와 죽음의 성물2,229946,2011-07-13,1813241000,55.9
포인트 블랭크,5651,2011-07-13,40740500,1.3
퀵,65763,2011-07-20,475927500,17.2
고지전,98066,2011-07-20,709864100,25.7
카 2,10974,2011-07-20,90176000,3.3
바니버디,6733,2011-07-20,43735000,1.6
리오,28871,2011-07-27,230434000,8.6
퍼스트 어벤져,63024,2011-07-28,503623000,14.4
극장판 도라에몽: 진구와 철인군단 날아라 천사들,11402,2011-07-28,76096500,2.2
마당을 나온 암탉,46338,2011-07-28,302867000,8.7
명탐정 코난 : 침묵의 15분,38174,2011-08-03,248638500,5.7
7광구,201006,2011-08-04,1882329500,35.9
블라인드,65555,2011-08-10,486389500,14.6
최종병기 활,140127,2011-08-10,1005479000,30.2
카우보이 & 에이리언,33899,2011-08-11,244899000,6.4
개구쟁이 스머프,48777,2011-08-11,364122000,9.5
로맨틱 크라운,10135,2011-08-17,73124500,2.1
혹성탈출: 진화의 시작,116253,2011-08-17,834112500,23.6
세 얼간이,16209,2011-08-18,115201500,3.4
돈비 어프레이드 : 어둠 속의 속삭임,8589,2011-08-25,62153500,2.8
내 여자친구의 결혼식,7644,2011-08-25,55625500,2.5
행오버 2,7094,2011-08-25,52722500,2.4
샤오린 : 최후의 결전,5495,2011-08-25,37629000,1.7
콜롬비아나,28186,2011-08-31,203374500,10.6
푸른소금,54996,2011-08-31,398245000,20.7
통증,25231,2011-09-07,180705500,11.9
파퍼씨네 펭귄들,10258,2011-09-07,74117500,4.9
가문의 영광4 - 가문의 수난,62553,2011-09-07,455623500,29.9
챔프,9107,2011-09-07,64528000,4.2
파이널 데스티네이션5,12613,2011-09-08,118032500,7.5
샤크 나이트 3D,9998,2011-09-15,94563500,6.2
킬러 엘리트,16920,2011-09-22,122303000,6.7
도가니,136094,2011-09-22,1001031500,54.8
컨테이젼,24292,2011-09-22,182890500,10.0
의뢰인,93065,2011-09-29,671241500,23.5
어브덕션,17551,2011-09-29,121537500,4.3
코쿠리코 언덕에서,12756,2011-09-29,91011500,3.2
카운트다운,33820,2011-09-29,243673000,8.5
투혼,12487,2011-10-06,86823000,5.1
스톤,1995,2011-10-06,14022000,0.8
언피니시드,7713,2011-10-06,54721000,3.2
삼총사 3D,37479,2011-10-12,331937000,19.6
리얼 스틸,63863,2011-10-12,474694000,28.0
비우티풀,713,2011-10-13,5257500,0.3
히트,3691,2011-10-13,26251500,1.6
완득이,59962,2011-10-20,423428000,23.5
파라노말 액티비티 3,9489,2011-10-20,69162000,3.8
오직 그대만,58337,2011-10-20,416459000,23.1
최종병기 활 감독확장판,1075,2011-10-20,7219500,0.4
오늘,6296,2011-10-27,44032500,2.6
프렌즈 위드 베네핏,8016,2011-10-27,57478500,3.5
인 타임,36097,2011-10-27,260102000,15.6
트리 오브 라이프,4082,2011-10-27,28749000,1.7
청원,3543,2011-11-02,23818000,1.6
커플즈,18869,2011-11-02,137492000,9.4
헬프,6059,2011-11-03,41823500,3.0
더 킥,3552,2011-11-03,25571000,1.8
Mr.아이돌,5886,2011-11-03,40900500,2.9
티끌모아 로맨스,44212,2011-11-10,285749500,10.5
신들의 전쟁,86454,2011-11-10,767699500,28.2
너는 펫,54892,2011-11-10,359683000,13.2
머니볼,35378,2011-11-17,249190000,15.3
타워 하이스트,7803,2011-11-17,53179500,3.3
완벽한 파트너,8261,2011-11-17,59522500,3.7
특수본,58276,2011-11-24,401240000,27.5
50/50,9838,2011-11-24,69212500,4.7
퍼펙트 센스,5384,2011-11-24,38913500,2.7
아더 크리스마스,12039,2011-11-25,96837000,4.7
브레이킹 던 part1,109502,2011-11-30,771132500,41.3
