영화명,해당일의 관객수,개봉일,당일 매출액,해당일자 매출총액 대비 해당 영화의 매출비율
피치 퍼펙트: 언프리티 걸즈,8485,2015-05-28,62915200,3.0
차일드 44,2954,2015-05-28,22009500,1.0
샌 안드레아스,92875,2015-06-03,788535900,42.2
에벌리,2355,2015-06-04,14382000,0.7
은밀한 유혹,21742,2015-06-04,160863300,8.1
령 : 저주받은 사진,6719,2015-06-04,50146700,2.5
쥬라기 월드,274719,2015-06-11,2363615600,74.1
카이트,3234,2015-06-11,18476000,0.6
심야식당,6300,2015-06-18,47508300,1.5
극비수사,181737,2015-06-18,1380352500,42.9
경성학교: 사라진 소녀들,53657,2015-06-18,405288500,12.6
베스트 오브 미,1476,2015-06-18,10745800,0.3
소수의견,34334,2015-06-24,218862300,6.8
연평해전,153400,2015-06-24,1011947000,31.5
19곰 테드 2,18211,2015-06-25,139262200,4.3
나의 절친 악당들,26887,2015-06-25,201933900,6.2
데모닉,7169,2015-06-25,53913700,1.6
터미네이터 제니시스,253699,2015-07-02,2056310900,50.8
라자루스,3137,2015-07-02,24229300,0.6
마돈나,1596,2015-07-02,11701000,0.3
손님,144967,2015-07-09,1056941500,26.8
인사이드 아웃,68222,2015-07-09,514382600,13.0
러덜리스,4315,2015-07-09,32527300,0.8
우먼 인 골드,12067,2015-07-09,90355600,2.3
인시디어스 3,38555,2015-07-09,288966400,7.3
다크 플레이스,8603,2015-07-15,68212300,2.4
쓰리 썸머 나잇,12378,2015-07-15,93747800,3.3
픽셀,68692,2015-07-16,538752600,18.0
극장판 요괴워치: 탄생의 비밀이다냥!,35073,2015-07-22,246330600,4.7
암살,477541,2015-07-22,3593111500,67.9
고녀석 맛나겠다2 : 함께라서 행복해,3712,2015-07-29,25335500,0.4
미니언즈,193689,2015-07-29,1296622500,20.1
미션 임파서블: 로그네이션,471801,2015-07-30,3606583800,43.0
러브 앤 머시,1288,2015-07-30,9327000,0.1
아마조니아,3720,2015-08-05,24865200,0.3
베테랑,414219,2015-08-05,3129197200,35.6
명탐정 코난 : 화염의 해바라기,54213,2015-08-05,369307400,4.2
어느 하녀의 일기,1828,2015-08-06,12970400,0.2
에스엠타운 더 스테이지,4912,2015-08-13,36409000,0.5
숀더쉽,9626,2015-08-13,63889000,1.0
"협녀, 칼의 기억",79801,2015-08-13,593991700,8.9
미쓰 와이프,56370,2015-08-13,404203300,6.1
뷰티 인사이드,114401,2015-08-20,867611000,18.9
판타스틱 4,63458,2015-08-20,466725600,10.2
퇴마: 무녀굴,21790,2015-08-20,168215100,3.7
아메리칸 울트라,30139,2015-08-27,230546300,7.6
미라클 벨리에,6073,2015-08-27,44027000,1.5
치외법권,49585,2015-08-27,365671600,12.1
앤트맨,174587,2015-09-03,1435679500,43.7
러브 라이브! 더 스쿨 아이돌 무비,5474,2015-09-03,41219500,1.3
오피스,46567,2015-09-03,353043000,10.7
히트맨: 에이전트 47,7599,2015-09-03,56749600,1.7
갤로우즈,10524,2015-09-03,80767200,2.5
스트레이트 아웃 오브 컴턴,4393,2015-09-10,34613700,1.8
함정,32277,2015-09-10,250255800,13.1
사랑이 이긴다,2733,2015-09-10,20654000,1.1
셀프/리스,15141,2015-09-10,113650500,5.9
사도,250237,2015-09-16,1876614700,56.9
메이즈 러너: 스코치 트라이얼,111026,2015-09-16,852420600,25.9
극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,1861,2015-09-17,11647500,0.4
뮨: 달의 요정,4770,2015-09-24,32809100,1.1
에베레스트,25680,2015-09-24,221171900,7.4
서부전선,47432,2015-09-24,349709600,11.7
지금은맞고그때는틀리다,3525,2015-09-24,27542200,0.9
탐정 : 더 비기닝,50533,2015-09-24,376585300,12.6
인턴,50009,2015-09-24,382655000,12.8
대니 콜린스,6045,2015-09-30,40287700,1.0
주온: 더 파이널,10473,2015-10-01,65389000,2.6
성난 변호사,89466,2015-10-08,659208600,15.2
마션,271226,2015-10-08,2101911000,48.5
팬,15998,2015-10-08,116950300,2.7
더 비지트,7372,2015-10-15,55572400,2.6
트랜스포터: 리퓰드,20329,2015-10-15,153031600,7.2
리그레션,2918,2015-10-15,22117000,1.0
비밀,7539,2015-10-15,54017800,2.5
아델라인 : 멈춰진 시간,3754,2015-10-15,27496300,1.3
특종: 량첸살인기,64516,2015-10-22,483123800,21.0
더 폰,97241,2015-10-22,721519700,31.3
돌연변이,10379,2015-10-22,74638100,3.2
맨 프롬 UNCLE,12715,2015-10-28,79769200,3.6
미안해 사랑해 고마워,6142,2015-10-28,37292300,1.7
그놈이다,97168,2015-10-28,594482700,26.7
어떤살인,2487,2015-10-28,17662500,0.8
하늘을 걷는 남자,19675,2015-10-28,143200000,6.4
더 랍스터,2189,2015-10-29,16739000,0.9
스파이 브릿지,18404,2015-11-05,135278300,5.6
검은 사제들,191090,2015-11-05,1454751000,59.8
더 셰프,19128,2015-11-05,145496200,6.0
이스케이프,4872,2015-11-05,36163700,1.5
007 스펙터,186718,2015-11-11,1439987500,39.2
몬스터 헌트,2037,2015-11-12,14670300,0.4
위아 유어 프렌즈,2658,2015-11-12,20425300,0.6
헝거게임: 더 파이널,46781,2015-11-18,356712800,13.1
아이돌 마스터 무비 : 빛의 저편으로!,2276,2015-11-19,16904000,0.5
프리덤,6456,2015-11-19,43772400,1.3
내부자들,230949,2015-11-19,1756744300,53.0
크림슨 피크,6117,2015-11-25,41542600,1.3
열정같은소리하고있네,59737,2015-11-25,354687300,11.3
괴물의 아이,15416,2015-11-25,92648500,3.0
도리화가,49216,2015-11-25,290767700,9.3
위선자들,3982,2015-11-26,20745500,0.7
극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,3366,2015-11-26,24309200,0.9
사우스포,10637,2015-12-03,78548000,3.2
극적인 하룻밤,35140,2015-12-03,270250900,11.0
시카리오: 암살자의 도시,9599,2015-12-03,72162400,2.9
맥베스,5987,2015-12-03,42222500,1.7
하트 오브 더 씨,44675,2015-12-03,391556900,16.0
레전드,31949,2015-12-10,239332400,10.8
뽀로로 극장판 컴퓨터 왕국 대모험,10545,2015-12-10,72168900,3.3
파더 앤 도터,8076,2015-12-10,55443400,2.5
보루토 - 나루토 더 무비,6308,2015-12-10,45452900,2.1
히말라야,203173,2015-12-16,1493451100,45.2
대호,128396,2015-12-16,941928500,28.5
바닷마을 다이어리,3278,2015-12-17,24695700,0.6
스타워즈: 깨어난 포스,167315,2015-12-17,1451624000,34.9
포켓몬 더 무비 XY 후파: 광륜의 초마신,12091,2015-12-23,85852700,2.6
어린왕자,28252,2015-12-23,195095500,5.8
스누피: 더 피너츠 무비,11200,2015-12-24,79990400,1.2
이웃집에 신이 산다,6667,2015-12-24,52584600,0.8
몬스터 호텔 2,57231,2015-12-24,403348900,5.8
라스트 위치 헌터,24121,2015-12-30,150596700,3.3
조선마술사,115456,2015-12-30,706255000,15.5
내부자들: 디 오리지널,159066,2015-12-31,1228257715,17.8
셜록: 유령신부,396224,2016-01-02,3136359200,26.5
헤이트풀8,11342,2016-01-07,87581200,2.7
포인트 브레이크,32809,2016-01-07,250267000,7.7
굿 다이노,74492,2016-01-07,523650100,16.1
잡아야 산다,8688,2016-01-07,61739700,1.9
짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,17073,2016-01-07,119600100,3.7
나를 잊지 말아요,63347,2016-01-07,482064700,14.9
레버넌트: 죽음에서 돌아온 자,124146,2016-01-14,942932000,31.6
구스범스,26744,2016-01-14,193532900,6.5
그날의 분위기,67607,2016-01-14,511107000,17.1
극장판 꼬마버스 타요의 에이스 구출작전,6768,2016-01-21,43983200,2.1
오빠생각,78467,2016-01-21,571183100,26.8
빅쇼트,27454,2016-01-21,212205500,9.9
스티브 잡스,9164,2016-01-21,68012600,3.2
"로봇, 소리",52321,2016-01-27,309466700,16.1
쿵푸팬더3,222044,2016-01-28,1658416200,60.3
세기의 매치,3112,2016-01-28,22308500,0.8
검사외전,526680,2016-02-03,3954268800,83.9
앨빈과 슈퍼밴드: 악동 어드벤처,8575,2016-02-04,58011900,1.3
최강전사 미니특공대: 영웅의 탄생,2955,2016-02-04,21184500,0.5
캐롤,13134,2016-02-04,100429300,2.3
나쁜놈은 죽는다,1285,2016-02-04,9222000,0.2
드레스메이커,7519,2016-02-11,56603800,1.7
극장판 아이엠스타 : 꿈의 오디션!,21376,2016-02-11,153361700,4.6
번개맨,5192,2016-02-11,37523400,1.1
좋아해줘,73132,2016-02-17,545910500,13.3
동주,19124,2016-02-17,139569700,3.4
빌리와 용감한 녀석들: 치킨 히어로,2794,2016-02-17,18834800,0.5
데드풀,252018,2016-02-17,2019314800,49.1
주토피아,35604,2016-02-17,261052300,6.4
대니쉬 걸,5826,2016-02-17,44119500,1.1
순정,56244,2016-02-24,347464800,8.3
스포트라이트,21951,2016-02-24,128058400,3.1
귀향,158174,2016-02-24,962008400,23.1
제 5침공,19795,2016-02-25,145117000,3.8
남과 여,27887,2016-02-25,210198300,5.5
갓 오브 이집트,56814,2016-03-03,455245100,21.3
13시간,11943,2016-03-03,90357100,4.2
룸,7423,2016-03-03,56321500,2.6
널 기다리며,41956,2016-03-10,322557500,18.3
엽문3: 최후의 대결,4181,2016-03-10,32518100,1.8
런던 해즈 폴른,36440,2016-03-10,273311600,15.5
조이,16799,2016-03-10,124294600,7.1
부활,4413,2016-03-17,30103000,2.5
스푹스:MI5,6670,2016-03-17,48487900,4.0
오 마이 그랜파,10818,2016-03-17,81013000,6.6
글로리데이,16442,2016-03-24,123332700,5.2
"헤일, 시저!",4014,2016-03-24,29622800,1.2
배트맨 대 슈퍼맨: 저스티스의 시작,219794,2016-03-24,1796011200,75.1
미스컨덕트,23224,2016-03-30,143579900,10.0
마음이 외치고 싶어해,4949,2016-03-30,28552400,2.0
나의 그리스식 웨딩 2,5692,2016-03-30,34145900,2.4
포레스트: 죽음의 숲,5536,2016-03-30,34463100,2.4
대배우,26847,2016-03-30,158499600,11.0
"날, 보러와요",42192,2016-04-07,323237000,26.8
독수리 에디,16644,2016-04-07,123820700,10.3
트럼보,5267,2016-04-07,37504100,3.1
클로버필드 10번지,33023,2016-04-07,254937600,21.2
33,3705,2016-04-07,25672200,2.1
해어화,74087,2016-04-13,589150300,10.8
헌츠맨: 윈터스 워,111569,2016-04-13,891386900,16.3
시간이탈자,155917,2016-04-13,1295199400,23.7
극장판 프랭키와 친구들: 생명의 나무,10849,2016-04-13,85149100,1.6
트리플 9,7384,2016-04-20,53997600,4.9
위대한 소원,32598,2016-04-21,246363000,19.4
파라노말 액티비티: 더 고스트 디멘션,6854,2016-04-21,52563100,4.1
캡틴 아메리카: 시빌 워,727949,2016-04-27,4948963000,91.0
시크릿 인 데어 아이즈,2678,2016-04-27,16727200,0.3
매직브러시,10983,2016-05-04,72808100,1.6
다이노X 탐험대,3940,2016-05-04,27811700,0.6
극장판 안녕 자두야,9112,2016-05-04,63550000,1.4
탐정 홍길동: 사라진 마을,82893,2016-05-04,621749000,14.0
다이노소어 어드벤처 : 백악기 공룡대백과,5615,2016-05-04,38018500,0.9
엽기적인 그녀 2,15373,2016-05-12,113785400,3.3
나의 소녀시대,5330,2016-05-12,42033100,1.2
곡성,310042,2016-05-12,2356899900,68.3
다이버전트 시리즈: 얼리전트,10035,2016-05-12,74134400,2.1
계춘할망,28793,2016-05-19,206218900,8.3
앵그리버드 더 무비,10198,2016-05-19,74724100,3.0
싱 스트리트,23170,2016-05-19,178996800,7.2
동급생,3188,2016-05-19,22970000,0.9
하드코어 헨리,12773,2016-05-19,101933500,4.1
엑스맨: 아포칼립스,298816,2016-05-25,1944957700,57.0
오베라는 남자,4458,2016-05-25,28018600,0.8
무서운 이야기 3 : 화성에서 온 소녀,11958,2016-06-01,91668000,2.5
아가씨,290024,2016-06-01,2200581820,60.6
미 비포 유,25214,2016-06-01,189314900,5.2
더 보이,4180,2016-06-01,31716300,0.9
정글북,73355,2016-06-09,615508100,17.4
극장판 유희왕 더 다크 사이드 오브 디멘션즈,2232,2016-06-09,16980600,0.5
본 투 비 블루,4226,2016-06-09,32720200,0.9
워크래프트: 전쟁의 서막,114226,2016-06-09,946125700,26.8
컨저링 2,73335,2016-06-09,565533720,16.0
특별수사: 사형수의 편지,75630,2016-06-16,555899700,20.6
닌자터틀 : 어둠의 히어로,27009,2016-06-16,209919100,7.8
크리미널,13518,2016-06-22,101979200,3.2
인디펜던스 데이 : 리써전스,168049,2016-06-22,1375371400,43.1
비밀은 없다,53485,2016-06-23,404585600,14.2
레전드 오브 타잔,84540,2016-06-29,554446600,16.5
사냥,161021,2016-06-29,961451300,28.7
굿바이 싱글,122543,2016-06-29,733983300,21.9
봉이 김선달,136701,2016-07-06,1023319200,33.2
도리를 찾아서,76938,2016-07-06,617720600,20.0
잔예 - 살아서는 안되는 방,9462,2016-07-07,73905300,2.6
트릭,8589,2016-07-13,64448900,2.0
더 웨이브,2510,2016-07-13,18739700,0.6
나우 유 씨 미 2,196279,2016-07-13,1488003800,46.5
데몰리션,3760,2016-07-13,27997800,0.9
언더 워터,29167,2016-07-13,221848100,6.9
나의 산티아고,2859,2016-07-14,20748300,0.7
아이스 에이지: 지구 대충돌,14207,2016-07-20,103244000,1.3
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,9210,2016-07-20,67322600,0.8
부산행,872673,2016-07-20,6562420000,82.4
제이슨 본,308768,2016-07-27,2048249740,23.6
인천상륙작전,464460,2016-07-27,2922521800,33.7
빅,21181,2016-07-27,143628000,1.7
덕혜옹주,267112,2016-08-03,1980965300,16.7
수어사이드 스쿼드,397666,2016-08-03,3166550200,26.7
명탐정 코난: 순흑의 악몽,79742,2016-08-03,552052500,4.7
마이펫의 이중생활,182044,2016-08-03,1298745100,11.0
국가대표 2,61508,2016-08-10,446883400,6.2
터널,379079,2016-08-10,2833570300,39.3
슈퍼 프렌즈,7403,2016-08-10,53412800,0.7
갤럭시 히어로즈: 라쳇 앤 클랭크,4849,2016-08-17,34628900,0.7
서울역,29389,2016-08-17,220499500,4.6
스타트렉 비욘드,83066,2016-08-17,701970400,14.7
플로렌스,17466,2016-08-24,126851700,4.3
라이트 아웃,57997,2016-08-24,445513550,15.0
올레,12249,2016-08-25,90324800,3.0
고스트버스터즈,32371,2016-08-25,241711700,8.0
이퀄스,15046,2016-08-31,87602300,3.0
메카닉: 리크루트,95756,2016-08-31,596154400,20.4
머니 몬스터,8572,2016-08-31,50474000,1.7
"고산자, 대동여지도",29603,2016-09-07,216150500,7.6
장난감이 살아있다,3874,2016-09-07,28155800,1.0
로빈슨 크루소,2266,2016-09-07,16809100,0.6
거울나라의 앨리스,19058,2016-09-07,145724400,5.1
밀정,287228,2016-09-07,2131489500,74.5
달빛궁궐,3199,2016-09-07,23896700,0.8
아이엠스타 뮤직어워드,16454,2016-09-14,110777600,1.3
벤허,110492,2016-09-14,942820700,11.3
드림 쏭,19694,2016-09-14,156981400,1.9
매그니피센트 7,112370,2016-09-14,964570000,11.6
카페 소사이어티,9431,2016-09-14,81833500,1.0
아이 엠 어 히어로,17795,2016-09-21,141122400,9.5
뉴 스텝업: 어반댄스,3775,2016-09-22,23919600,1.6
대결,5296,2016-09-22,37439500,2.5
설리: 허드슨강의 기적,33583,2016-09-28,203703400,4.7
아수라,475482,2016-09-28,2907847000,67.4
미스 페레그린과 이상한 아이들의 집,80715,2016-09-28,483198800,11.2
브리짓 존스의 베이비,41530,2016-09-28,242184200,5.6
피터와 드래곤,2443,2016-09-28,15091000,0.3
돈 맛,1729,2016-09-29,8419000,0.3
디시에르토,2274,2016-10-05,16488100,0.7
맨 인 더 다크,61267,2016-10-05,481538200,21.6
죽여주는 여자,9685,2016-10-06,67594000,3.0
그물,6805,2016-10-06,49102800,2.2
어카운턴트,9069,2016-10-13,65802000,2.5
럭키,214065,2016-10-13,1595475900,61.0
바스티유 데이,12687,2016-10-13,93436700,3.6
자백,7812,2016-10-13,60128300,2.3
인페르노,60052,2016-10-19,464795500,18.8
키즈모노가타리 II : 열혈편,3284,2016-10-20,25028000,1.0
걷기왕,9130,2016-10-20,66440400,2.8
닥터 스트레인지,435068,2016-10-26,2859676100,63.9
혼숨,32837,2016-10-26,205311000,4.6
선생님의 일기,6861,2016-11-02,44461900,2.2
로스트 인 더스트,8741,2016-11-03,62549400,3.1
무한대를 본 남자,4633,2016-11-03,33167600,1.7
세상에서 고양이가 사라진다면,6373,2016-11-09,42775500,2.6
위자: 저주의 시작,24843,2016-11-09,189803500,11.5
스플릿,33686,2016-11-09,252358900,15.3
당신자신과 당신의 것,2055,2016-11-10,15489000,0.9
감바의 대모험,3503,2016-11-10,23011000,1.4
카페 6,4359,2016-11-16,29099300,0.8
신비한 동물사전,242775,2016-11-16,1975369400,57.0
가려진 시간,71077,2016-11-16,520694500,15.0
하이큐!! 끝과 시작,14989,2016-11-16,108566000,3.1
순종,2554,2016-11-17,17498500,0.5
형,75882,2016-11-23,574152500,25.1
블레어 위치,3599,2016-11-23,27952000,1.2
테일 오브 테일즈,2863,2016-11-24,21990600,0.8
미스 사이공 : 25주년 특별 공연,3133,2016-11-24,59240800,2.3
도성풍운 3,1839,2016-11-30,9871000,0.3
캡틴 판타스틱,2260,2016-11-30,13137000,0.4
언더월드: 블러드 워,15394,2016-11-30,96978400,2.6
미씽: 사라진 여자,139198,2016-11-30,819369900,21.9
두 남자,13912,2016-11-30,85061000,2.3
잭 리처: 네버 고 백,111255,2016-11-30,656290300,17.6
판도라,154652,2016-12-07,1138891200,42.4
아기배달부 스토크,6569,2016-12-07,45405200,1.7
라라랜드,62258,2016-12-07,499764900,18.6
"나, 다니엘 블레이크",1876,2016-12-08,13668200,0.5
원피스 필름 골드,25501,2016-12-08,190008600,6.4
목숨 건 연애,7489,2016-12-14,53470500,1.8
"당신, 거기 있어줄래요",92278,2016-12-14,677051000,22.2
극장판 도라에몽: 신 진구의 버스 오브 재팬,2763,2016-12-21,20592100,0.5
씽,30628,2016-12-21,220602700,5.0
마스터,392856,2016-12-21,2944795900,66.1
포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,8494,2016-12-22,61641700,1.5
에곤 쉴레: 욕망이 그린 그림,2138,2016-12-22,16291500,0.4
로그 원: 스타워즈 스토리,145102,2016-12-28,1026654200,22.4
루돌프와 많이있어,12326,2016-12-28,87645800,1.9
하이큐!! 승자와 패자,9955,2016-12-28,63831500,1.4
여교사,19575,2017-01-04,152788900,3.7
패신저스,85044,2017-01-04,652157500,15.6
눈의 여왕 3: 눈과 불의 마법대결,34965,2017-01-04,239802400,5.8
사랑하기 때문에,44941,2017-01-04,334212300,8.0
너의 이름은.,138028,2017-01-04,1032712400,24.8
얼라이드,43776,2017-01-11,330131300,10.4
어쌔신 크리드,60851,2017-01-11,464968400,14.6
반지의 제왕 : 반지원정대 (확장판),5099,2017-01-11,66408900,2.1
모아나,84797,2017-01-12,612702800,19.3
공조,151845,2017-01-18,1145130100,23.8
반지의 제왕 : 두개의 탑 (확장판),3237,2017-01-18,41878600,0.9
더 킹,288966,2017-01-18,2197763200,45.7
터닝메카드W: 블랙미러의 부활,50159,2017-01-18,334154700,7.0
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,8967,2017-01-25,61103000,1.6
레지던트 이블: 파멸의 날,71038,2017-01-25,475128400,12.5
딥워터 호라이즌,12845,2017-01-25,78334600,2.1
라이언,10688,2017-02-01,79505500,2.7
컨택트,54584,2017-02-02,407616000,13.5
트리플 엑스 리턴즈,68598,2017-02-08,536597600,21.6
명탐정 코난: 에피소드 원-작아진 명탐정,15453,2017-02-08,115078400,4.6
발레리나,6787,2017-02-09,44750700,1.4
50가지 그림자: 심연,24738,2017-02-09,192090500,6.0
조작된 도시,157669,2017-02-09,1177376000,36.9
레고 배트맨 무비,7285,2017-02-09,54661700,1.7
그레이트 월,46451,2017-02-15,377515500,12.8
더 큐어,25961,2017-02-15,202013400,6.9
"그래, 가족",8010,2017-02-15,57885300,2.0
재심,121122,2017-02-15,916887400,31.1
트롤,29500,2017-02-16,194536300,6.2
마이펫 오지,16002,2017-02-16,114609700,3.7
존 윅 - 리로드,40988,2017-02-22,257445100,7.2
싱글라이더,65584,2017-02-22,395873500,11.0
핵소 고지,23123,2017-02-22,138404400,3.8
루시드 드림,26333,2017-02-22,161582300,4.5
23 아이덴티티,137005,2017-02-22,851225800,23.7
극장판 소드 아트 온라인 -오디널 스케일-,15368,2017-02-23,112968000,3.5
사일런스,7030,2017-02-28,52392200,1.4
해빙,386128,2017-03-01,3220411500,36.3
눈길,37284,2017-03-01,291392500,3.3
로건,256255,2017-03-01,2278583500,25.7
콩: 스컬 아일랜드,93804,2017-03-08,743887100,39.5
파도가 지나간 자리,3677,2017-03-08,25687600,1.4
걸 온 더 트레인,4046,2017-03-09,29506200,1.7
미녀와 야수(미),166930,2017-03-16,1322211700,60.9
비정규직 특수요원,21892,2017-03-16,156722400,7.2
스페이스 비트윈 어스,4401,2017-03-16,31717200,1.5
골드,4355,2017-03-22,31233800,1.5
아우토반,3707,2017-03-22,26823000,1.3
히든 피겨스,15834,2017-03-23,117138800,4.4
보통사람,35583,2017-03-23,248145500,9.3
극장판 암살교실 : 365일의 시간,2240,2017-03-23,16298000,0.6
밤의 해변에서 혼자,5022,2017-03-23,35911400,1.3
프리즌,168336,2017-03-23,1257773300,47.0
공각기동대 : 고스트 인 더 쉘,114618,2017-03-29,749148100,25.2
원라인,53333,2017-03-29,305148800,10.3
미스 슬로운,3474,2017-03-29,20345100,0.7
데스노트: 더 뉴 월드,4947,2017-03-29,30307000,1.0
라이프,42630,2017-04-05,330951300,18.7
시간위의 집,15518,2017-04-05,116057900,6.6
어느날,24326,2017-04-05,180031700,10.2
링스,1880,2017-04-06,14705500,0.9
패트리어트 데이,9580,2017-04-06,69011900,4.1
아빠는 딸,33396,2017-04-12,244461600,10.1
분노의 질주: 더 익스트림,208481,2017-04-12,1620818400,67.3
흑집사 -북 오브 더 아틀란틱-,3011,2017-04-13,22089000,1.1
지니어스,2955,2017-04-13,21148400,1.0
파운더,3730,2017-04-20,27090800,1.8
파워레인져스: 더 비기닝,10413,2017-04-20,76845000,5.2
오두막,6150,2017-04-20,43087800,2.9
콜로설,3367,2017-04-20,24375000,1.6
더 플랜,4533,2017-04-20,34363600,2.3
임금님의 사건수첩,108463,2017-04-26,640011200,25.7
특별시민,186007,2017-04-26,1114329400,44.8
"서서평, 천천히 평온하게",3034,2017-04-26,18701700,0.8
극장판 또봇: 로봇군단의 습격,3017,2017-04-27,22495600,1.1
극장판 쿠로코의 농구 라스트 게임,5394,2017-04-27,38961500,1.9
스머프: 비밀의 숲,9077,2017-04-28,65677100,2.1
슈퍼 빼꼼: 스파이 대작전,20063,2017-05-03,145901900,1.4
오즈의 마법사 2,7009,2017-05-03,54821600,0.5
보안관,206706,2017-05-03,1707833700,16.7
보스 베이비,237463,2017-05-03,1841294400,18.0
가디언즈 오브 갤럭시 VOL. 2,422412,2017-05-03,3708346100,36.2
목소리의 형태,74057,2017-05-09,576663700,5.8
에이리언: 커버넌트,279185,2017-05-09,2310310850,23.1
석조저택 살인사건,84068,2017-05-09,686422300,6.9
겟 아웃,92124,2017-05-17,703529100,28.3
킹 아서: 제왕의 검,31067,2017-05-17,234956600,9.4
불한당: 나쁜 놈들의 세상,95271,2017-05-17,713315600,28.6
캐리비안의 해적: 죽은 자는 말이 없다,206541,2017-05-24,1614550800,58.4
너와 100번째 사랑,4851,2017-05-25,36050500,1.3
노무현입니다,78816,2017-05-25,586213900,20.9
원더 우먼,206944,2017-05-31,1314211200,34.9
대립군,136240,2017-05-31,800909400,21.3
7번째 내가 죽던 날,4812,2017-05-31,30058000,0.8
베이블레이드 버스트 갓 : 갓 발키리의 탄생,2314,2017-06-01,16030100,0.6
미이라,873117,2017-06-06,7395114400,58.7
악녀,73305,2017-06-08,543427900,20.7
용순,1236,2017-06-08,8979500,0.3
심야식당 2,3355,2017-06-08,24197300,0.9
하루,77978,2017-06-15,582488900,29.3
엘르,1874,2017-06-15,13215200,0.7
나의 붉은고래,6571,2017-06-15,48763200,2.5
트랜스포머: 최후의 기사,285979,2017-06-21,2238537300,69.7
다크 하우스,8171,2017-06-22,62210400,2.5
더 서클,10401,2017-06-22,77967000,3.1
리얼,146965,2017-06-28,887028600,30.0
지랄발광 17세,6369,2017-06-28,37818900,1.3
박열,201987,2017-06-28,1184873200,40.1
옥자,23137,2017-06-29,173090600,7.6
스파이더맨: 홈 커밍,545302,2017-07-05,4247740050,84.8
그 후,2170,2017-07-06,15539300,0.4
베를린 신드롬,998,2017-07-06,7179000,0.2
플립,14315,2017-07-12,105250200,4.3
내 사랑,11526,2017-07-12,82833300,3.4
예수는 역사다,7960,2017-07-13,53225900,2.3
카3: 새로운 도전,17037,2017-07-13,113212200,4.9
47 미터,72116,2017-07-19,535406300,24.6
내가 죽기 전에 가장 듣고 싶은 말,6015,2017-07-19,44130700,2.0
덩케르크,224242,2017-07-20,1776036300,50.4
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,8423,2017-07-20,59775600,1.7
위시 어폰,9819,2017-07-20,73346000,2.1
송 투 송,3906,2017-07-26,24039800,0.3
군함도,972161,2017-07-26,6109565800,71.4
슈퍼배드 3,195774,2017-07-26,1210810000,14.1
명탐정 코난:진홍의 연가,94241,2017-08-02,645190000,6.7
택시운전사,698088,2017-08-02,5116354700,53.4
이모티: 더 무비,6710,2017-08-02,46349500,0.5
파리로 가는 길,4001,2017-08-03,29270800,0.3
빅풋 주니어,21379,2017-08-09,140996300,2.1
청년경찰,308298,2017-08-09,2252747600,34.2
애나벨 : 인형의 주인,154719,2017-08-10,1145172900,16.5
극장판 도라에몽: 진구의 남극 꽁꽁 대모험,16752,2017-08-10,110028400,1.6
혹성탈출: 종의 전쟁,568300,2017-08-15,4728549700,29.5
드래곤 스펠: 마법 꽃의 비밀,24018,2017-08-15,183387600,1.1
장산범,121834,2017-08-17,918972900,17.7
공범자들,9721,2017-08-17,73205900,1.4
브이아이피,174011,2017-08-23,1323933200,33.5
다크타워: 희망의 탑,14517,2017-08-23,107372200,2.7
더 테이블,6504,2017-08-24,49741400,1.3
아토믹 블론드,27662,2017-08-30,163448800,5.0
로마의 휴일,24402,2017-08-30,143614500,4.4
킬러의 보디가드,123601,2017-08-30,749584000,22.9
발레리안: 천 개 행성의 도시,70846,2017-08-30,422633400,12.9
그것,76925,2017-09-06,607948000,21.9
살인자의 기억법,143580,2017-09-06,1070193300,38.6
매혹당한 사람들,5619,2017-09-06,39982500,1.4
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,9446,2017-09-07,65878600,2.5
저수지 게임,8196,2017-09-07,60946600,2.3
"좋아해, 너를",3967,2017-09-14,31023200,1.6
베이비 드라이버,51772,2017-09-14,388963100,20.2
아메리칸 메이드,49188,2017-09-14,359380500,18.7
윈드 리버,4393,2017-09-14,31266600,1.6
몬스터 콜,5948,2017-09-14,43187600,2.2
인비저블 게스트,6126,2017-09-21,46803000,2.9
아이 캔 스피크,87136,2017-09-21,634048900,39.6
잃어버린 도시 Z,7901,2017-09-21,56526900,3.5
킹스맨: 골든 서클,481948,2017-09-27,3056786300,72.9
우리의 20세기,1475,2017-09-27,9725000,0.2
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,5975,2017-09-27,36674500,0.9
레고 닌자고 무비,3588,2017-09-28,25104500,0.8
남한산성,444585,2017-10-03,3669119900,39.1
매직울프,8332,2017-10-03,62412800,0.7
넛잡 2,27229,2017-10-03,205463700,2.2
범죄도시,164399,2017-10-03,1377207900,14.7
딥,24826,2017-10-03,193615100,2.1
블레이드 러너 2049,35745,2017-10-12,288515000,11.3
나의 엔젤,957,2017-10-12,6498500,0.3
