,영화명,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,개봉연도,평균 제작비,국내배급사,상장배급사,주요배급사,개봉일관객수,개봉일매출액,개봉일매출비율,타겟,대표코드
76,더 킹,2017-01-18,1.0,1310,43486078535,5316325,11144618435.0,1318493,범죄,1,1,2017,26.3,0.0,1.0,1,288966.0,2197763200.0,45.7,1,20151229
77,완득이,2011-10-20,1.0,500,38530503500,5310510,11657798500.0,1525277,드라마,2,1,2011,22.7,0.0,1.0,1,59962.0,423428000.0,23.5,1,20112695
78,트랜스포머: 사라진 시대,2014-06-25,0.0,1602,44012272845,5295801,11664376045.0,1323527,액션,2,1,2014,20.1,0.0,1.0,1,467419.0,3552580600.0,80.5,1,20122021
79,완벽한 타인,2018-10-31,1.0,1313,44356752474,5294119,11870044374.0,1373292,드라마,1,1,2018,26.8,0.0,1.0,1,274118.0,1658691350.0,41.5,1,20177538
80,조커,2019-10-02,0.0,1418,45380235450,5247794,14670413840.0,1634834,액션,1,1,2019,29.0,1.0,0.0,1,323409.0,2680489690.0,52.7,1,20199950
81,월드 워 Z,2013-06-20,0.0,964,38555357000,5237525,12048296500.0,1562677,드라마,1,1,2013,21.4,0.0,1.0,1,239692.0,1686274500.0,57.0,1,20122122
82,타워,2012-12-25,1.0,617,37654858000,5181014,9052298500.0,1186378,드라마,2,1,2012,20.3,0.0,1.0,1,431704.0,3182200500.0,25.2,1,20124039
83,미녀와 야수(미),2017-03-16,0.0,1627,42130589579,5137993,13177630229.0,1531839,멜로/로맨스,3,1,2017,26.3,1.0,0.0,1,166930.0,1322211700.0,60.9,1,20164721
84,독전,2018-05-22,1.0,1357,43484892913,5063620,10658158413.0,1201461,범죄,1,1,2018,26.8,0.0,1.0,1,376530.0,3378735600.0,37.5,1,20179383
85,쿵푸팬더 2,2011-05-26,0.0,948,44298724500,5062722,14917759000.0,1575363,애니메이션,3,1,2011,22.7,0.0,1.0,1,130076.0,1196979000.0,48.0,1,20110511
86,아쿠아맨,2018-12-19,0.0,1285,44113456704,5038134,11897439184.0,1294275,액션,2,1,2018,26.8,1.0,0.0,1,145383.0,1229668100.0,24.6,0,20180290
87,공작,2018-08-08,1.0,1317,42759410176,4971261,10296507676.0,1158151,드라마,2,1,2018,26.8,0.0,1.0,1,333316.0,2638788700.0,29.4,1,20179101
88,인사이드 아웃,2015-07-09,0.0,777,38015586936,4968687,12814825236.0,1594626,애니메이션,3,1,2015,19.9,1.0,0.0,1,68222.0,514382600.0,13.0,1,20151225
