영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,로그 전국스크린수,로그 전국매출액,로그 전국관객수,로그 서울매출액,로그 서울관객수,로그 수정전국매출액,로그 개봉일관객수,로그 개봉일매출액,로그 개봉일매출비율,로그 배우가중치,로그 감독가중치,타겟
모아나,2017-01-12,0.0,애니메이션,3,1.0,0.0,1,6.859614903654202,42.037372686577655,14.652781458848123,22.278336832461537,13.25740987168246,5.1960111986729265,11.34801544379571,20.233390547621788,2.9601050959108397,-0.2876820724517809,-2.995732273553991,1
테이큰 2,2012-09-27,0.0,액션,0,1.0,0.0,1,6.525029657843462,42.01077095999755,14.652150105509625,22.428615939394867,13.448635194760016,5.169409472092817,12.116645625951184,20.976985924862,3.7932394694381792,-0.16251892949777494,-1.8971199848858813,1
하녀,2010-05-13,1.0,기타,0,0.0,0.0,0,6.3578422665081,41.99526965390173,14.650368649989883,22.486771311467873,13.515368514812668,5.153908165996997,11.938278164085316,20.820667010916093,3.9435216724875173,0.0,-2.3025850929940455,0
메이즈 러너: 데스 큐어,2018-01-17,0.0,액션,2,1.0,0.0,1,6.993932975223189,42.08326050749576,14.648303152371062,22.335761590216244,13.27540372675707,5.241899019591024,12.326119782839625,21.284586513589954,3.5890591188317256,-0.7985076962177716,-1.8971199848858813,1
맘마미아!2,2018-08-08,0.0,기타,2,1.0,0.0,1,6.620073206530356,42.116019414359585,14.641939162409159,22.576053164797656,13.504004262429454,5.274657926454854,11.890889186238875,20.87345591249633,2.5649493574615367,-0.6931471805599453,-2.995732273553991,1
호빗: 스마우그의 폐허,2013-12-12,0.0,기타,2,1.0,0.0,1,6.698268054115413,42.025984447973926,14.640888786066414,22.041457149141234,13.063591662894405,5.1846229600691975,11.846543632608535,20.784065972771128,3.6270040503958487,-0.05129329438755058,-1.8971199848858813,0
나잇&데이,2010-06-24,0.0,액션,1,1.0,0.0,1,6.2166061010848646,41.98034674898578,14.640646504411713,22.52049200318726,13.556608991432507,5.138985261081051,11.478126959427533,20.363298335627658,3.5751506887855933,-0.5108256237659907,-1.6094379124341003,1
컨저링,2013-09-17,0.0,기타,1,1.0,0.0,1,6.315358001522335,41.93837175401125,14.632094981204105,22.228207810313055,13.293770588832402,5.097010266106522,11.303808085389111,20.124935077948614,2.509599262378372,-0.6931471805599453,-1.3862943611198906,1
슈렉 포에버,2010-07-01,0.0,애니메이션,3,0.0,1.0,1,6.329720905522696,42.28719006816761,14.631475191320437,22.84542910750795,13.550315089418195,5.445828580262884,11.179520519398482,20.488003524181845,3.414442608412176,-1.3862943611198906,-1.8971199848858813,1
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,0.0,액션,2,1.0,0.0,1,7.443663683115591,42.08343894719764,14.629508508313263,22.492238323546577,13.405490592223899,5.242077459292911,12.300446023035851,21.308834042887153,4.318820558770089,-0.6931471805599453,-1.6094379124341003,0
레디 플레이어 원,2018-03-28,0.0,액션,2,1.0,0.0,1,6.983789965258135,42.13632865233745,14.62840772734816,22.70553541466436,13.545352702207918,5.294967164432714,11.916949535281988,20.72825835356945,3.2733640101522705,-1.0498221244986778,-1.8971199848858813,1
배틀쉽,2012-04-11,0.0,기타,2,1.0,0.0,1,6.601230118728877,41.95008621730643,14.6227392653749,22.263687056181254,13.30086933069955,5.108724729401695,12.868448714298216,21.76630903636418,3.6686767467964168,-0.2231435513142097,-2.995732273553991,1
셜록홈즈 : 그림자 게임,2011-12-21,0.0,액션,1,1.0,0.0,1,5.91350300563827,41.95761207520026,14.621609567115364,22.517283504524222,13.560127865507415,5.116250587295528,11.181249706832558,20.045896528544027,2.766319109226186,-0.4307829160924542,-1.8971199848858813,1
7광구,2011-08-04,1.0,기타,1,0.0,1.0,1,6.699500340161678,42.1047782003922,14.618488796400337,22.314245336223557,13.178734258999926,5.2634167124874685,12.211090037341958,21.35577594248738,3.580737295494233,-0.5978370007556204,-2.3025850929940455,1
타짜: 원 아이드 잭,2019-09-11,1.0,범죄,0,0.0,1.0,1,7.264730177929867,42.1232161453292,14.616467203057383,22.246116537111217,13.149098780126236,5.281854657424475,12.713763360600677,21.714017743448093,3.8628327612373745,-0.2876820724517809,-2.995732273553991,0
마당을 나온 암탉,2011-07-28,1.0,애니메이션,3,0.0,1.0,1,5.84354441703136,41.828832926099736,14.603535097402352,22.044838193429996,13.195924199898972,4.987471438195008,10.74371763779732,19.528804323215184,2.163323025660538,0.0,-2.995732273553991,1
악의 연대기,2015-05-14,1.0,기타,1,0.0,1.0,1,6.654152520183219,41.99812239448362,14.60043577857002,22.14199494140442,13.118584245472249,5.156760906578894,11.648679385947847,20.57570807598878,3.6054978451748854,0.26236426446749106,-2.995732273553991,0
강남 1970,2015-01-21,1.0,액션,0,0.0,1.0,1,6.734591659972948,42.01852604429719,14.600403391124942,22.304234704331844,13.282766470097261,5.177164556392459,11.933797934414129,20.892819310916853,3.4531571205928664,-1.0498221244986778,-2.3025850929940455,1
이상한 나라의 앨리스,2010-03-04,0.0,기타,3,1.0,0.0,1,5.993961427306569,42.17219445755193,14.59591970911265,22.775055952435917,13.541899686841047,5.330832969647203,11.04659508109079,20.285991125443182,3.8394523125933104,0.09531017980432493,-1.8971199848858813,1
맨 오브 스틸,2013-06-13,0.0,기타,2,1.0,0.0,1,6.905753276311464,41.9826135014311,14.595856472961346,22.519744994734847,13.488148893757195,5.141252013526372,12.094856128025443,21.04582386119185,3.9473901492654373,-0.5978370007556204,-1.6094379124341003,0
황해,2010-12-22,1.0,기타,0,1.0,1.0,1,6.42648845745769,41.963297839368636,14.589050846338917,22.472746956544846,13.479465630033697,5.121936351463905,11.699255643161543,20.604486242390117,3.632309102625542,0.5007752879124892,-2.3025850929940455,1
원더 우먼,2017-05-31,0.0,액션,2,1.0,0.0,1,6.9411900550683745,42.004350928227716,14.58811612166727,22.402288576347242,13.368506010533869,5.162989440322987,12.240203504246319,20.99650247468666,3.5524868292083815,-0.6931471805599453,-2.995732273553991,0
초능력자,2010-11-10,1.0,기타,1,0.0,1.0,1,6.432940092739179,41.892398909701505,14.587840846078182,22.286010804508507,13.34329007330935,5.051037421796773,11.661224773149748,20.55934298122878,4.014579593753238,-0.10536051565782628,-2.995732273553991,1
신의 한 수: 귀수편,2019-11-07,1.0,범죄,1,0.0,1.0,1,7.1276936993473985,42.055805551282354,14.579472149999434,22.13051171660471,13.046401996441432,5.214444063377622,12.0785971645153,21.061077547500307,3.8815637979434374,-0.16251892949777494,-2.995732273553991,1
마이 웨이,2011-12-21,1.0,기타,1,0.0,1.0,1,6.4692503167957724,41.91621043787555,14.577540870656694,22.17745993897033,13.215217817072894,5.074848949970821,11.610533003823237,20.496530844119878,3.214867803470662,-0.7985076962177716,-2.3025850929940455,1
겟 아웃,2017-05-17,0.0,기타,1,1.0,0.0,1,6.851184927493743,42.00222951526082,14.575449656355339,22.397418325332023,13.354057468439882,5.160868027356092,11.430890774615898,20.37161979826877,3.342861804649192,-1.8971199848858813,-2.3025850929940455,1
